symbol,primary_ticker,exchange,asset_type,market_cap,sector,industry,name
FERAR,FERAR.US,NASDAQ,Common Stock,,,,Fifth Era Acquisition Corp I Rights
FFAIW,FFAIW.US,NASDAQ,Common Stock,,,,Faraday Future Intelligent Electric Inc.
FGMCR,FGMCR.US,NASDAQ,Common Stock,,,,FG Merger II Corp. Rights
FGN,FGN.US,NYSE,Common Stock,,,,F&G Annuities & Life Inc. 7.95
FGSN,FGSN.US,NYSE,Common Stock,,,,F&G Annuities & Life Inc. 7.300% Junior Subordinated Notes due 2065
FIGX,FIGX.US,NASDAQ,Common Stock,,,,FIGX Capital Acquisition Corp. Class A Ordinary Share
FLG-PU,FLG-PU.US,NYSE,Common Stock,,,,New York Community Capital Trust V
FOXXW,FOXXW.US,NASDAQ,Common Stock,,,,Foxx Development Holdings Inc.
FRMI,FRMI.US,NASDAQ,Common Stock,,,,Fermi Inc.
FSHPR,FSHPR.US,NASDAQ,Common Stock,,,,Flag Ship Acquisition Corp. Right
FUFUW,FUFUW.US,NASDAQ,Common Stock,,,,BitFuFu Inc. Warrant
GAINI,GAINI.US,NASDAQ,Common Stock,,,,Gladstone Investment Corporation 7.875% Notes due 2030
GCLWW,GCLWW.US,NASDAQ,Common Stock,,,,GCL Global Holdings Ltd Warrants
GECCG,GECCG.US,NASDAQ,Common Stock,,,,Great Elm Capital Corp. 7.75% Notes Due 2030
GECCH,GECCH.US,NASDAQ,Common Stock,,,,GECCH
GENVR,GENVR.US,NASDAQ,Common Stock,,,,Gen Digital Inc. Contingent Value Rights
GGROW,GGROW.US,NASDAQ,Common Stock,,,,Gogoro Equity Warrant Exp 4th April 2027
GIBOW,GIBOW.US,NASDAQ,Common Stock,,,,GIBO Holdings Limited
GIGGW,GIGGW.US,NASDAQ,Common Stock,,,,GigCapital7 Corp.
GIXXU,GIXXU.US,NASDAQ,Common Stock,,,,GigCapital9 Corp. Units
GLPPRB,GLPPRB.US,NYSE,Common Stock,,,,Global Partners LP 9.5% Pfd. Series B
GPATW,GPATW.US,NASDAQ,Common Stock,,,,GP-Act III Acquisition Corp. Warrants
GPJA,GPJA.US,NYSE,Common Stock,,,,Georgia Power Co
GRABW,GRABW.US,NASDAQ,Common Stock,,,,Grab Holdings Limited Warrant
GRRRW,GRRRW.US,NASDAQ,Common Stock,,,,Gorilla Technology Group Inc.
